age,income,loan_amount,credit_score,defaulted
56,54674,1105,553,0
69,55854,10078,725,0
46,66271,26003,846,0
32,93688,7090,601,0
60,58518,39850,648,0
25,30267,2925,348,1
38,110825,19440,373,1
56,21062,40685,560,1
36,70448,27015,655,0
40,115462,34320,559,1
28,26229,26291,594,0
28,76793,37679,612,0
41,67915,27289,481,1
53,24632,4389,663,0
57,23596,26683,487,1
41,26168,14629,842,0
20,27561,25826,847,0
39,93794,36198,707,1
19,102152,27630,713,0
41,46734,34226,641,0
61,26371,47163,519,1
47,46069,33975,462,1
55,99905,1899,519,1
19,32910,12653,569,0
38,93479,28961,699,0
50,97735,17405,481,1
29,101264,9601,504,1
39,43275,34662,527,1
61,92274,34282,549,0
42,101449,22288,740,0
66,80004,30545,832,0
44,82981,37877,495,1
59,104659,47026,818,0
45,74553,16313,369,1
33,68447,16349,698,0
32,54529,8179,502,1
64,95703,11326,447,0
68,96090,45555,771,0
61,37260,2560,498,0
69,23812,14612,725,0
20,48024,18650,791,0
54,78656,27745,441,1
68,47285,32890,612,0
24,112436,21022,464,1
38,21605,5780,613,0
26,91158,19311,320,1
56,92303,29380,381,1
35,47139,45662,430,1
21,97149,3356,604,0
42,76138,5790,670,0
31,96125,27911,683,0
67,33918,25363,744,0
26,105655,21049,724,0
43,47446,11181,460,0
19,33046,40825,477,1
37,44818,17082,789,0
45,24324,1661,626,0
64,96323,38412,588,0
24,29111,49479,653,0
61,58110,3920,327,1
25,36389,26658,342,0
64,61427,49770,722,0
52,99579,15025,476,0
31,48746,9946,828,0
34,107886,29706,793,0
53,20117,46500,497,1
67,104471,40004,816,0
57,33234,17309,813,0
21,73441,47286,321,1
19,20846,34120,411,1
23,30954,31027,356,1
59,99239,8005,365,1
21,66514,47804,397,0
46,108236,1956,443,1
35,117579,35839,734,0
43,26469,9595,385,0
61,50105,48908,643,0
51,62101,13803,593,1
27,84323,26963,542,1
53,111922,37221,331,1
31,78067,40443,690,0
48,69376,34723,576,0
65,65587,40063,831,0
32,56976,49689,453,1
25,87584,16282,682,0
31,98477,5703,367,1
40,62533,7563,513,1
57,21828,26849,675,0
38,21917,32860,512,1
33,40618,32585,378,1
62,52254,23015,680,0
35,67362,13003,357,0
64,40128,44585,325,0
41,79383,27958,746,0
43,85545,27017,365,0
42,102180,12171,553,0
62,107958,46350,343,1
58,29865,13201,396,1
46,22219,30426,526,1
32,59809,18778,735,0
62,25287,46241,678,0
18,54387,43229,477,1
42,28512,22116,726,0
24,21342,49364,606,0
26,83076,34297,803,0
41,39216,20342,567,1
18,113070,28490,307,1
61,99767,20975,807,0
25,117829,27723,775,0
41,46614,24279,596,1
28,56258,13765,463,0
68,113789,47678,784,0
34,62078,12561,371,1
25,103524,42899,537,1
52,116573,1525,403,1
52,32219,23861,509,0
50,20235,34142,767,0
22,62929,27916,753,0
59,87444,45965,567,1
56,28567,5648,685,0
58,90792,36133,686,0
45,85441,31523,558,1
24,104555,30052,582,0
26,93698,35414,339,1
25,25415,33781,785,0
29,56159,5599,519,1
51,63925,36046,428,1
50,25951,48064,819,0
65,107388,36923,559,1
40,28007,42089,665,0
41,61832,4814,843,0
54,78596,46893,823,0
52,50523,36984,315,1
61,108861,27616,428,1
57,106740,3113,408,1
39,35524,44006,832,1
44,39282,14760,568,0
52,43930,22927,461,1
18,20077,21939,559,1
52,40611,33419,401,0
54,36984,13588,805,0
64,34060,37142,546,1
31,102985,40198,836,0
20,104056,45738,430,1
18,63303,34397,652,0
22,79207,17653,495,1
43,95046,11831,681,0
31,49287,6724,526,1
56,113709,12083,775,1
44,59711,46917,776,0
26,31954,20816,564,1
32,93340,43240,671,0
32,92101,7276,785,0
43,91520,49403,733,0
59,107062,39663,510,1
30,38574,14994,676,0
68,29184,24499,694,0
49,39096,24040,749,0
56,87728,44320,663,1
66,54016,17959,756,0
69,31246,7099,525,0
49,65558,43267,430,0
21,38381,20576,775,0
47,56455,36946,576,0
54,112263,7116,455,0
40,24018,16563,517,1
56,31302,27788,489,1
62,87506,27928,716,0
32,61157,37336,845,0
60,74917,10847,340,0
46,112738,27155,606,0
53,116646,15135,637,0
30,103122,18774,613,0
49,44519,2742,374,1
24,116809,19309,578,1
68,107487,1619,475,1
39,76819,18658,572,0
45,100910,35707,588,0
19,91324,21337,571,1
59,25408,17001,365,1
62,79379,1968,782,0
23,45053,48614,547,0
45,29446,26892,455,1
45,20922,26619,346,1
61,118723,1281,753,0
61,71356,28420,500,1
37,30789,16360,423,0
47,117720,40030,300,1
28,86656,2058,490,1
45,64028,21677,815,0
42,84484,11724,741,0
56,52154,29404,442,1
50,102870,38946,490,1
18,22336,40748,832,0
44,87779,30856,526,1
69,39029,10200,612,0
30,79201,34997,601,0
58,52265,26611,759,0
20,63872,42235,700,0
56,66197,36057,692,0
23,75180,2239,506,1
25,43710,39138,509,0
44,49486,49938,414,1
26,91907,1125,550,0
54,91895,46272,518,1
50,84435,24857,706,0
68,60631,16398,742,0
59,40103,7638,653,0
61,84772,7570,849,0
41,34382,4249,441,0
32,104291,10110,800,0
49,23756,41363,846,0
49,40609,14605,841,0
41,36478,13115,806,1
58,59666,40062,580,0
69,95683,23911,723,0
66,119097,39525,569,0
66,91315,33556,453,0
69,97834,13595,382,1
29,34153,2969,725,0
56,96325,44753,574,0
19,32999,18275,583,1
20,75318,5470,472,0
66,20814,11225,626,0
54,96077,43324,362,1
66,110474,42974,372,0
34,22443,43759,674,0
66,95993,24196,807,0
19,95916,41287,697,0
19,93319,14669,419,1
45,37368,38380,736,0
40,35328,46141,764,0
54,76942,49320,585,0
49,111751,48414,564,1
50,119131,39006,619,0
18,47306,16577,675,0
36,105451,23473,388,1
19,59915,29625,502,1
61,57219,16504,633,0
43,100879,25089,521,1
49,84644,37487,340,0
23,80279,1302,367,1
49,73028,32463,813,0
21,20126,45912,426,1
28,72329,30259,554,0
34,47632,43823,315,1
55,85310,38208,776,0
41,75176,31659,361,1
22,106066,36840,731,0
69,64327,32890,567,0
51,88904,14598,334,1
23,23797,48055,793,0
39,67882,47733,768,0
28,33718,20508,624,0
65,54560,43287,603,0
33,96589,14380,575,1
50,42116,27984,500,0
26,56244,45633,744,0
23,21645,9125,623,0
33,67523,37059,334,0
46,39256,5033,781,0
20,73173,38873,779,0
37,57430,18087,364,1
53,59282,41901,307,0
36,83374,6704,600,0
43,88244,8848,642,0
20,31694,22592,730,0
36,76264,46743,723,0
37,95060,7924,631,0
49,117416,28208,737,0
24,77545,20614,473,0
69,59224,1488,826,0
58,117945,40882,325,1
50,33224,26923,705,0
57,60738,49508,531,0
56,45150,36941,832,1
35,83731,30165,849,0
57,69688,2667,804,0
18,119929,27213,478,0
28,93509,5114,431,1
45,28577,37321,754,0
42,28070,8761,647,0
67,28666,32116,839,0
40,77761,34768,705,0
48,56368,49406,375,1
47,26783,26426,791,0
59,61914,18772,493,1
52,90507,39218,461,0
24,99026,4712,646,0
33,87526,2367,660,0
43,90835,41957,386,1
65,65765,42781,561,1
69,39956,27200,513,1
66,107895,4726,561,0
19,66240,24616,582,1
18,57148,28723,766,0
65,114270,38574,679,0
29,24757,35958,661,0
22,39097,10108,748,1
54,30395,13178,740,0
49,36241,36643,392,1
26,47696,32324,723,0
58,90480,39360,441,0
52,66163,18824,590,0
36,39816,46360,731,0
65,69840,9927,348,0
33,72853,29144,601,0
20,44917,32010,489,0
37,116731,23443,435,1
41,41566,15437,703,0
50,95452,45298,640,0
41,82823,40778,617,1
69,40806,12207,662,0
28,95520,26537,681,1
66,21759,36757,532,1
25,61949,13040,643,0
53,112374,42986,848,0
55,22482,23612,828,0
57,44442,29441,482,1
37,53719,7471,340,1
52,78066,36631,696,0
65,113501,44461,793,0
42,22079,27523,632,0
52,22717,32348,426,0
42,79676,2177,300,1
46,47952,5760,467,1
35,106444,33779,318,1
63,62460,22636,631,0
35,110397,17353,755,0
19,92847,12556,408,1
52,113607,28598,567,1
33,109106,12563,744,0
58,38449,47819,539,0
53,53536,44790,600,0
50,84077,9234,402,1
21,58258,26519,549,1
50,68302,27966,752,0
31,48865,17173,819,0
38,26645,27987,452,1
65,58000,14178,473,0
37,46737,40338,642,0
25,31485,25596,730,0
24,58565,34174,623,0
20,45522,42974,719,1
